subject_id,peak_time_target,peak_time_distractor,peak_amplitude_target,peak_amplitude_distractor,diff_time,diff_amplitude
1,0.42578125,0.2265625,16.025469488369822,10.274463635692676,0.19921875,5.751005852677146
2,0.4296875,0.3828125,38.99950711099559,18.104938127974933,0.046875,20.894568983020655
3,0.50390625,0.51953125,26.564137034345023,16.0594330643477,-0.015625,10.504703969997323
4,0.6875,0.6171875,29.068938183615288,23.62688632367,0.0703125,5.442051859945288
5,0.51171875,0.53515625,19.11925838884308,13.393702818279474,-0.0234375,5.725555570563605
6,0.3671875,0.36328125,12.825446967272926,12.222515717624482,0.00390625,0.602931249648444
