,peak_time_target,peak_time_distractor,peak_amplitude_target,peak_amplitude_distractor,diff_time,diff_amplitude
count,40.0,40.0,40.0,40.0,40.0,40.0
mean,0.4767578125,0.43310546875,18.5178670134335,12.545088127156237,0.04365234375,5.972778886277263
std,0.10056349618187961,0.1414964415564293,5.372770464229361,4.4218995843902,0.1256739129701027,3.555048983262868
min,0.34375,0.16015625,8.39957548563998,7.531091667697478,-0.3125,-0.07767319641377668
25%,0.4052734375,0.34375,14.032912560730834,9.133688871580114,-0.0087890625,3.7907719180972963
50%,0.462890625,0.4375,18.863124824206245,11.015123121070117,0.0234375,5.538978411399711
75%,0.521484375,0.5322265625,21.330947630082058,14.502190654372363,0.0947265625,8.376362187033845
max,0.77734375,0.765625,32.88029377903875,25.668166624016003,0.31640625,14.57127199770765
